Genes	Description	Preferred_name
Mhon_011620	rRNA binding	-
Mhon_011622	guanylate cyclase activity	-
Mhon_011625	-	-
Mhon_011631	Astacin (Peptidase family M12A)	-
Mhon_011637	DNA binding	-
Mhon_011644	Belongs to the G-protein coupled receptor 1 family	npr-32
Mhon_011645	tyrosine-protein kinase	-
Mhon_011646	inorganic diphosphatase activity	Nurf-38
Mhon_011647	It is involved in the biological process described with Wnt signaling pathway	pop-1
Mhon_011650	Inorganic pyrophosphatase	-
Mhon_011653	Si ch211-157b11.8	-
Mhon_011654	oxaloacetate(2-) transmembrane transport	-
Mhon_011659	HID1 domain containing	-
Mhon_011660	Xylose isomerase	-
Mhon_011661	Belongs to the G-protein coupled receptor 1 family	-
Mhon_011673	G-protein coupled receptor activity	SPR
Mhon_011674	receptor	-
Mhon_011676	Cleavage and polyadenylation	Clp
Mhon_011677	Major Facilitator Superfamily	-
Mhon_011678	self proteolysis	-
Mhon_011679	Domain of unknown function (DUF1986)	-
Mhon_011680	Cytochrome P450	-
Mhon_011682	polycystic kidney disease protein 1-like	-
Mhon_011683	polycystic kidney disease protein 1-like	-
Mhon_011685	member RAS oncogene family	rab-37
Mhon_011687	Ras-related protein	rab-37
Mhon_011689	TerD domain	-
Mhon_011690	negative regulation of non-canonical Wnt signaling pathway	-
Mhon_011692	G-protein coupled receptor activity	-
Mhon_011693	negative regulation of non-canonical Wnt signaling pathway	-
Mhon_011694	TerD domain	-
Mhon_011696	cytoplasmic sequestering of NF-kappaB	casp
Mhon_011697	telomerase activity	-
Mhon_011698	Methyltransferase domain	-
Mhon_011706	negative regulation of synaptic vesicle clustering	Pten
Mhon_011712	mitochondrial electron transport, NADH to ubiquinone	Ndufs6
Mhon_011714	synaptogyrin 1	-
Mhon_011715	Zinc finger protein 598	-
Mhon_011716	store-operated calcium channel activity	-
Mhon_011718	Heat shock 70 kDa protein 12A-like	-
Mhon_011719	Heat shock 70kD protein 12B	-
Mhon_011720	G protein alpha subunit	-
Mhon_011722	Protein of unknown function	-
Mhon_011723	thymidine kinase 2, mitochondrial	-
Mhon_011725	Translocase of the Inner Mitochondrial membrane 29	-
Mhon_011727	Heparan sulfate glucosamine 3-O-sulfotransferase	Hs3st-B
Mhon_011728	Heparan sulfate glucosamine 3-O-sulfotransferase	Hs3st-B
Mhon_011731	Heparan sulfate glucosamine 3-O-sulfotransferase	Hs3st-B
Mhon_011733	helicase activity	-
Mhon_011734	postreplication repair	-
Mhon_011735	metalloendopeptidase activity. It is involved in the biological process described with proteolysis	-
Mhon_011736	thioesterase 13	-
Mhon_011737	Methyltransferase-like protein	-
Mhon_011738	postreplication repair	-
Mhon_011739	ATP-binding cassette sub-family A member 1-like	-
Mhon_011740	ATP-binding cassette sub-family A	-
Mhon_011741	Mpv17-like protein 2	-
Mhon_011744	Hbs1-like	-
Mhon_011745	xanthosine 5'-triphosphate (XTP) to their respective monophosphate derivatives. The enzyme does not distinguish between the deoxy- and ribose forms. Probably excludes non-canonical purines from RNA and DNA precursor pools, thus preventing their incorporation into RNA and DNA and avoiding chromosomal lesions	hap-1
Mhon_011746	Annexin A11-like	-
Mhon_011750	positive regulation of memory T cell activation	-
Mhon_011752	-	-
Mhon_011756	homolog subfamily C member 14	-
Mhon_011757	tRNA processing	-
Mhon_011758	excision repair protein	Rad23
Mhon_011759	Catalyzes the reversible isomerization between hydroxypyruvate and 2-hydroxy-3-oxopropanoate (also termed tartronate semialdehyde)	-
Mhon_011760	WD domain, G-beta repeat	-
Mhon_011762	DNA binding. It is involved in the biological process described with DNA-templated transcription, initiation	Trf2
Mhon_011763	delta24-sterol reductase activity	-
Mhon_011764	Zyg-11 family member B, cell cycle regulator	-
Mhon_011765	DNA binding. It is involved in the biological process described with DNA-templated transcription, initiation	Trf2
Mhon_011766	delta24-sterol reductase activity	-
Mhon_011767	maintenance of DNA methylation	-
Mhon_011771	Zyg-11 family member B, cell cycle regulator	-
Mhon_011776	Neutral ceramidase	CDase
Mhon_011777	Phosphotransferase enzyme family	-
Mhon_011779	Phosphatidylinositol-glycan-specific phospholipase D	-
Mhon_011781	Phosphatidylinositol-glycan-specific phospholipase D	-
Mhon_011782	glycosylphosphatidylinositol phospholipase D activity	-
Mhon_011788	plasminogen receptor	-
Mhon_011789	RNA-DNA hybrid ribonuclease activity	rnh1
Mhon_011792	S-methyl-5-thioribose-1-phosphate isomerase activity	-
Mhon_011794	Protein of unknown function (DUF640)	-
Mhon_011795	negative regulation of non-motile cilium assembly	dyf-5
Mhon_011796	establishment of protein localization to endoplasmic reticulum membrane	Rab10
Mhon_011797	Protein of unknown function, DUF547	-
Mhon_011799	EF-hand domain pair	-
Mhon_011800	1-acylglycerol-3-phosphate O-acyltransferase activity	-
Mhon_011801	E3 ubiquitin-protein ligase	-
Mhon_011802	translation initiation factor activity	eif-3.E
Mhon_011803	negative regulation of odontogenesis of dentin-containing tooth	-
Mhon_011805	-	-
Mhon_011806	-	-
Mhon_011807	TBC1 domain family member	-
Mhon_011808	structural constituent of ribosome	RpS7
Mhon_011809	cellular response to misfolded protein	-
Mhon_011810	3'-nucleotidase activity	gpap-1
Mhon_011813	choline transmembrane transporter activity	-
Mhon_011820	hedgehog receptor activity	-
Mhon_011826	receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	npr-32
Mhon_011827	vesicle-mediated transport	-
Mhon_011828	mRNA cap-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. In the eIF-3 complex, eif3d specifically recognizes and binds the 7-methylguanosine cap of a subset of mRNAs	eif-3.D
Mhon_011830	RNA localization to chromatin	-
Mhon_011831	calcium ion binding	-
Mhon_011832	iron-sulfur cluster assembly	-
Mhon_011833	UPF0728 protein C10orf53 homolog	-
Mhon_011834	FAD-dependent oxidoreductase	-
Mhon_011835	N-glycan processing	-
Mhon_011843	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain	-
Mhon_011844	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain	-
Mhon_011845	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain	-
Mhon_011846	post-translational protein acetylation	eco
Mhon_011852	response to muscle inactivity involved in regulation of muscle adaptation	-
Mhon_011853	coiled-coil-helix-coiled-coil-helix domain containing 7	-
Mhon_011855	zinc finger protein PLAGL1	-
Mhon_011856	Belongs to the short-chain dehydrogenases reductases (SDR) family	-
Mhon_011857	Serine threonine-protein kinase	-
Mhon_011858	Intraflagellar transport protein 52	-
Mhon_011859	Cytochrome b-561 / ferric reductase transmembrane domain.	-
Mhon_011860	SOSS complex subunit C	-
Mhon_011861	phosphatidylinositol binding	-
Mhon_011862	Tctex-1 family	-
Mhon_011863	Rab guanyl-nucleotide exchange factor activity	R06F6.8
Mhon_011864	tyrosine-protein kinase	-
Mhon_011865	syndecan binding protein	-
Mhon_011866	Repeat in Drosophila CG10860, human KIAA0680 and C. elegans F26H9.2	-
Mhon_011867	demethylase	-
Mhon_011869	MFS/sugar transport protein	-
Mhon_011873	Belongs to the bZIP family	maf-S
Mhon_011876	Serpentine type 7TM GPCR chemoreceptor Srsx	-
Mhon_011877	Transmembrane protein 26	-
Mhon_011878	endochitinase activity	-
Mhon_011879	Belongs to the glycosyl hydrolase 18 family	-
Mhon_011880	Belongs to the glycosyl hydrolase 18 family	-
Mhon_011881	endochitinase activity	Cht7
Mhon_011882	Belongs to the glycosyl hydrolase 18 family	-
Mhon_011883	Belongs to the glycosyl hydrolase 18 family	-
Mhon_011884	chitin binding	-
Mhon_011885	Glyco_18	-
Mhon_011888	endochitinase activity	Cht7
Mhon_011890	Chitin-binding domain type 2	-
Mhon_011894	Eukaryotic translation initiation factor 4E	ife-3
Mhon_011901	Neuropeptide FF receptor 1	GPRNNA7
Mhon_011902	inner dynein arm assembly	-
Mhon_011903	Von Willebrand factor A	-
Mhon_011911	Neuropeptide Y receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRNPY4
Mhon_011913	It is involved in the biological process described with carbohydrate metabolic process	Cht4
Mhon_011914	Belongs to the glycosyl hydrolase 18 family	-
Mhon_011932	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)	-
Mhon_011933	cytochrome P450	-
Mhon_011934	Belongs to the eukaryotic ribosomal protein eL38 family	RpL38
Mhon_011935	Thrombospondin type 1 repeats	-
Mhon_011937	intraciliary transport	-
Mhon_011938	zinc ion binding	-
Mhon_011939	regulation of epidermal growth factor receptor signaling pathway	rom-4
Mhon_011942	Belongs to the G-protein coupled receptor 1 family	tkr-3
Mhon_011943	Neuropeptide Y receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	tkr-3
Mhon_011945	alpha-(1->3)-fucosyltransferase activity	-
Mhon_011946	alpha-(1->3)-fucosyltransferase activity	-
Mhon_011947	alpha-(1->3)-fucosyltransferase activity	-
Mhon_011952	ubiquitin-like protein ligase activity	-
Mhon_011958	Transcription factor	AP-2
Mhon_011959	regulation of epidermal growth factor receptor signaling pathway	rom-4
Mhon_011960	regulation of epidermal growth factor receptor signaling pathway	rom-4
Mhon_011961	regulation of epidermal growth factor receptor signaling pathway	rom-4
Mhon_011962	cilium movement involved in cell motility	-
Mhon_011963	negative regulation of RNA export from nucleus	Mtor
Mhon_011965	L-fuconate dehydratase activity	-
Mhon_011966	protein transport	-
Mhon_011967	Belongs to the potassium channel family	Shab
Mhon_011970	peroxisome localization	-
Mhon_011971	cadherin binding	-
Mhon_011972	Belongs to the DEAD box helicase family	-
Mhon_011973	MRG MORF4L-binding protein	MrgBP
Mhon_011976	apoptotic nuclear changes	-
Mhon_011977	Catalytic histone acetyltransferase subunit of the RNA polymerase II elongator complex, which is a component of the RNA polymerase II (Pol II) holoenzyme and is involved in transcriptional elongation	-
Mhon_011978	Component of the sequence-specific heterotrimeric transcription factor (NF-Y) which specifically recognizes a 5'- CCAAT-3' box motif found in the promoters of its target genes. NF- Y can function as both an activator and a repressor, depending on its interacting cofactors	-
Mhon_011978	protein heterodimerization activity	-
Mhon_011979	mediator of RNA polymerase II transcription subunit	MED8
Mhon_011986	Predicted nucleotidyltransferase	-
Mhon_011987	RNA 3'-terminal phosphate cyclase	-
Mhon_011991	Leucine-rich repeats, outliers	-
Mhon_011992	negative regulation of glucokinase activity	-
Mhon_011995	rRNA catabolic process	-
Mhon_011996	negative regulation of glucokinase activity	-
Mhon_011998	-	-
Mhon_011999	-	-
Mhon_012000	Belongs to the RNR ribonuclease family	-
Mhon_012001	negative regulation of protein glycosylation in Golgi	-
Mhon_012004	homolog 2	Dab
Mhon_012004	leading edge cell differentiation	Dab
Mhon_012009	BSD domain	-
Mhon_012010	XK-related protein	ced-8
Mhon_012011	Belongs to the class I-like SAM-binding methyltransferase superfamily. rRNA adenine N(6)-methyltransferase family	mtTFB1
Mhon_012012	UTP23, small subunit (SSU) processome component, homolog (yeast)	-
Mhon_012013	translation initiation factor activity	eif-3.H
Mhon_012014	regulation of sequestering of zinc ion	-
Mhon_012015	Mitochondrial NAD( ) kinase that phosphorylates NAD( ) to yield NADP( ). Can use both ATP or inorganic polyphosphate as the phosphoryl donor	-
Mhon_012016	positive regulation of transcription, DNA-templated	-
Mhon_012019	diphthine synthase activity	Dph5
Mhon_012020	ubiquitin-protein transferase activity	-
Mhon_012021	FK506 binding	FK506-bp2
Mhon_012022	Peptidyl-prolyl	-
Mhon_012024	FKBP-type peptidyl-prolyl cis-trans isomerase	FK506-bp2
Mhon_012030	RNA exonuclease 1 homolog	-
Mhon_012031	Cid1 family poly A polymerase	-
Mhon_012032	Tctex-1 family	-
Mhon_012035	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
Mhon_012036	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
Mhon_012037	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
Mhon_012039	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
Mhon_012040	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
Mhon_012041	Plasmin dissolves the fibrin of blood clots and acts as a proteolytic factor in a variety of other processes including embryonic development, tissue remodeling, tumor invasion, and inflammation. In ovulation, weakens the walls of the Graafian follicle. It activates the urokinase-type plasminogen activator, collagenases and several complement zymogens, such as C1 and C5. Cleavage of fibronectin and laminin leads to cell detachment and apoptosis. Also cleaves fibrin, thrombospondin and von Willebrand factor. Its role in tissue remodeling and tumor invasion may be modulated by CSPG4. Binds to cells	-
